Date,IEI,TLT
2014-06-10,116.638614,103.30634
2014-06-09,116.763798,103.687857
2014-06-06,116.917862,103.836736
2014-06-05,117.023784,103.836736
2014-06-04,116.937124,103.790215
2014-06-03,116.927493,103.818129
2014-06-02,117.177854,105.111552
2014-05-30,117.463839,105.898771
2014-05-29,117.569655,105.94518
2014-05-28,117.656227,106.511336
2014-05-27,117.386881,105.211963
2014-05-23,117.329167,104.599399
2014-05-22,117.223352,104.042526
2014-05-21,117.348403,104.191029
2014-05-20,117.42536,104.831429
2014-05-19,117.232973,104.599399
2014-05-16,117.21373,105.379025
2014-05-15,117.309924,105.676024
2014-05-14,117.136772,104.840712
2014-05-13,116.867427,103.717685
2014-05-12,116.665418,102.826688
2014-05-09,116.819334,103.244341
2014-05-08,116.809712,103.578465
2014-05-07,116.646182,104.023967
2014-05-06,116.51151,104.395218
2014-05-05,116.492267,103.977558
2014-05-02,116.521124,104.608682
2014-05-01,116.578846,103.968275
2014-04-30,116.453788,102.864738
2014-04-29,116.175098,102.438837
2014-04-28,116.107828,102.577719
2014-04-25,116.194322,103.077693
2014-04-24,116.079,102.929549
2014-04-23,116.11744,102.735117
2014-04-22,115.954072,102.151818
2014-04-21,116.069388,101.809241
2014-04-17,115.963677,101.892574
2014-04-16,116.367295,103.022136
2014-04-15,116.559499,102.892514
2014-04-14,116.569111,102.253664
2014-04-11,116.713255,102.522169
2014-04-10,116.617156,101.698134
2014-04-09,116.405735,100.763005
2014-04-08,116.213539,101.262978
2014-04-07,116.107828,101.022249
2014-04-04,115.982901,100.420428
2014-04-03,115.531231,99.753797
2014-04-02,115.521619,99.318635
2014-04-01,115.829138,99.89268
2014-03-31,115.883913,100.753745
2014-03-28,115.768708,101.003093
2014-03-27,115.979914,101.575658
2014-03-26,116.018315,101.067738
2014-03-25,115.691912,100.282758
2014-03-24,115.701507,100.661396
2014-03-21,115.80711,99.950305
2014-03-20,115.816712,98.879043
2014-03-19,115.855114,99.05451
2014-03-18,116.623132,99.830246
2014-03-17,116.450328,99.470082
2014-03-14,116.690333,100.218114
2014-03-13,116.680731,100.199647
2014-03-12,116.354321,98.869806
2014-03-11,116.191119,98.186418
2014-03-10,116.123918,97.92784
2014-03-07,116.075922,97.789314
2014-03-06,116.383127,98.408056
2014-03-05,116.58473,99.38697
2014-03-04,116.546329,99.174562
2014-03-03,116.968732,100.6891
2014-02-28,116.677852,100.021411
2014-02-27,116.773771,99.966138
2014-02-26,116.735402,99.42259
2014-02-25,116.562744,98.897471
2014-02-24,116.370906,98.022275
2014-02-21,116.418869,98.271012
2014-02-20,116.390087,97.755108
2014-02-19,116.524382,97.994638
2014-02-18,116.658671,98.409203
