,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
303,122.287496,124.75,2015-10-19,124.790001,124.559998,124.709999,IEI,671800
304,122.277692,124.739998,2015-10-16,124.839996,124.68,124.809998,IEI,292400
305,122.356114,124.82,2015-10-15,124.959999,124.75,124.900002,IEI,1822200
306,122.650195,125.120003,2015-10-14,125.120003,124.839996,124.949997,IEI,252900
307,122.189472,124.650002,2015-10-13,124.699997,124.440002,124.580002,IEI,250500
308,122.111049,124.57,2015-10-12,124.629997,124.410004,124.50,IEI,213200
309,121.875789,124.330002,2015-10-09,124.410004,124.269997,124.32,IEI,335000
310,121.924797,124.379997,2015-10-08,124.650002,124.32,124.550003,IEI,282000
311,122.091447,124.550003,2015-10-07,124.650002,124.459999,124.510002,IEI,188200
312,122.297301,124.760002,2015-10-06,124.790001,124.559998,124.620003,IEI,290800
313,122.199276,124.660004,2015-10-05,124.860001,124.610001,124.809998,IEI,225800
314,122.503155,124.970001,2015-10-02,125.339996,124.849998,125.190002,IEI,582600
315,122.071838,124.529999,2015-10-01,124.690002,124.470001,124.620003,IEI,563600
316,122.049295,124.650002,2015-09-30,124.669998,124.459999,124.50,IEI,655600
317,121.961169,124.559998,2015-09-29,124.660004,124.410004,124.449997,IEI,549300
318,121.755551,124.349998,2015-09-28,124.360001,124.07,124.07,IEI,215100
319,121.452022,124.040001,2015-09-25,124.080002,123.879997,123.949997,IEI,413800
320,121.5891,124.18,2015-09-24,124.410004,124.169998,124.330002,IEI,332600
321,121.471601,124.059998,2015-09-23,124.139999,123.980003,124.07,IEI,275700
322,121.559727,124.150002,2015-09-22,124.25,123.989998,123.989998,IEI,169400
323,121.246404,123.830002,2015-09-21,123.940002,123.75,123.93,IEI,218500
324,121.559727,124.150002,2015-09-18,124.160004,123.93,124.050003,IEI,495500
325,121.30515,123.889999,2015-09-17,123.910004,123.150002,123.150002,IEI,238200
326,120.629544,123.199997,2015-09-16,123.360001,123.150002,123.199997,IEI,325500
327,120.649131,123.220001,2015-09-15,123.68,123.190002,123.650002,IEI,869000
328,121.177865,123.760002,2015-09-14,123.809998,123.669998,123.760002,IEI,151900
329,121.109326,123.690002,2015-09-11,123.769997,123.57,123.580002,IEI,161700
330,120.923287,123.50,2015-09-10,123.540001,123.379997,123.510002,IEI,257800
331,121.00162,123.580002,2015-09-09,123.629997,123.25,123.330002,IEI,320500
332,120.942867,123.519997,2015-09-08,123.610001,123.470001,123.589996,IEI,234600
333,121.217031,123.800003,2015-09-04,123.919998,123.599998,123.709999,IEI,389300
334,121.119112,123.699997,2015-09-03,123.739998,123.510002,123.690002,IEI,843600
335,120.95266,123.529999,2015-09-02,123.68,123.400002,123.470001,IEI,1147100
336,121.011406,123.589996,2015-09-01,123.68,123.470001,123.540001,IEI,951000
337,120.732359,123.449997,2015-08-31,123.860001,123.449997,123.809998,IEI,1473200
338,120.92796,123.650002,2015-08-28,124.029999,123.599998,124.00,IEI,503100
339,121.006201,123.730003,2015-08-27,123.879997,123.57,123.68,IEI,292500
340,121.035539,123.760002,2015-08-26,124.199997,123.75,123.830002,IEI,1052800
341,121.348495,124.080002,2015-08-25,124.209999,123.830002,124.089996,IEI,1323500
342,121.710345,124.449997,2015-08-24,124.940002,124.239998,124.769997,IEI,461800
343,121.416953,124.150002,2015-08-21,124.260002,123.93,124.040001,IEI,370200
344,121.133336,123.860001,2015-08-20,123.949997,123.769997,123.849998,IEI,267300
345,121.064878,123.790001,2015-08-19,123.860001,123.18,123.18,IEI,130300
346,120.62478,123.339996,2015-08-18,123.470001,123.230003,123.230003,IEI,120700
347,120.70302,123.419998,2015-08-17,123.550003,123.400002,123.50,IEI,175600
348,120.517208,123.230003,2015-08-14,123.389999,123.150002,123.239998,IEI,132100
349,120.62478,123.339996,2015-08-13,123.559998,123.309998,123.459999,IEI,406800
350,120.918178,123.639999,2015-08-12,124.00,123.599998,123.75,IEI,406300
351,120.859502,123.580002,2015-08-11,123.769997,123.50,123.50,IEI,404300
352,120.419403,123.129997,2015-08-10,123.230003,123.019997,123.110001,IEI,224500
353,120.585667,123.300003,2015-08-07,123.330002,123.00,123.150002,IEI,174800
354,120.380283,123.089996,2015-08-06,123.18,123.019997,123.050003,IEI,140300
355,120.204253,122.910004,2015-08-05,123.089996,122.760002,123.019997,IEI,147900
356,120.429185,123.139999,2015-08-04,123.540001,123.089996,123.50,IEI,296700
357,120.879058,123.599998,2015-08-03,123.730003,123.43,123.480003,IEI,1091400
358,120.786152,123.650002,2015-07-31,123.669998,123.510002,123.629997,IEI,202500
359,120.327036,123.18,2015-07-30,123.199997,122.959999,122.959999,IEI,167100
360,120.327036,123.18,2015-07-29,123.32,123.050003,123.209999,IEI,691500
361,120.463793,123.32,2015-07-28,123.370003,123.239998,123.239998,IEI,2410200
362,120.571246,123.43,2015-07-27,123.480003,123.330002,123.370003,IEI,194300
363,120.278191,123.129997,2015-07-24,123.230003,123.010002,123.089996,IEI,117000
364,120.209813,123.059998,2015-07-23,123.07,122.760002,122.769997,IEI,144600
365,119.975374,122.82,2015-07-22,122.989998,122.809998,122.879997,IEI,111900
366,119.985144,122.830002,2015-07-21,122.910004,122.610001,122.610001,IEI,133200
367,119.809313,122.650002,2015-07-20,122.699997,122.50,122.610001,IEI,141600
368,119.994907,122.839996,2015-07-17,122.910004,122.730003,122.779999,IEI,355500
369,120.073056,122.919998,2015-07-16,122.959999,122.690002,122.709999,IEI,485200
370,120.180509,123.029999,2015-07-15,123.099998,122.650002,122.650002,IEI,136500
371,119.94607,122.790001,2015-07-14,122.839996,122.730003,122.75,IEI,131100
372,119.721393,122.559998,2015-07-13,122.690002,122.449997,122.449997,IEI,214600
373,119.94607,122.790001,2015-07-10,123.040001,122.620003,122.830002,IEI,167900
374,120.35634,123.209999,2015-07-09,123.419998,123.209999,123.279999,IEI,144300
375,120.756848,123.620003,2015-07-08,123.739998,123.360001,123.440002,IEI,197900
376,120.551713,123.410004,2015-07-07,123.790001,123.360001,123.57,IEI,165900
377,120.414948,123.269997,2015-07-06,123.370003,123.019997,123.300003,IEI,236000
378,120.004678,122.849998,2015-07-02,122.949997,122.739998,122.75,IEI,532700
379,119.653015,122.489998,2015-07-01,122.610001,122.360001,122.449997,IEI,1584000
380,119.980253,122.959999,2015-06-30,123.160004,122.830002,122.839996,IEI,189300
381,120.058316,123.040001,2015-06-29,123.129997,122.690002,122.779999,IEI,229700
382,119.365523,122.330002,2015-06-26,122.400002,122.269997,122.290001,IEI,121600
383,119.560673,122.529999,2015-06-25,122.660004,122.389999,122.559998,IEI,167400
384,119.765583,122.739998,2015-06-24,122.760002,122.480003,122.629997,IEI,523300
385,119.589945,122.559998,2015-06-23,122.739998,122.440002,122.440002,IEI,212200
386,119.736311,122.709999,2015-06-22,122.919998,122.690002,122.919998,IEI,164900
387,120.204682,123.190002,2015-06-19,123.260002,123.07,123.07,IEI,335200
388,119.90219,122.879997,2015-06-18,123.00,122.620003,122.93,IEI,258900
389,119.921709,122.900002,2015-06-17,123.010002,122.110001,122.559998,IEI,2605400
390,119.707039,122.68,2015-06-16,122.730003,122.540001,122.669998,IEI,145500
391,119.521641,122.489998,2015-06-15,122.669998,122.410004,122.610001,IEI,214600
392,119.316731,122.279999,2015-06-12,122.529999,122.18,122.190002,IEI,193700
393,119.365523,122.330002,2015-06-11,122.349998,121.949997,122.040001,IEI,128900
394,118.965455,121.919998,2015-06-10,122.150002,121.900002,122.059998,IEI,248100
395,119.189884,122.150002,2015-06-09,122.300003,122.080002,122.300003,IEI,141800
396,119.424066,122.389999,2015-06-08,122.440002,122.32,122.339996,IEI,217000
397,119.228916,122.190002,2015-06-05,122.349998,122.00,122.129997,IEI,413300
398,119.716799,122.690002,2015-06-04,122.800003,122.529999,122.529999,IEI,283100
399,119.49237,122.459999,2015-06-03,122.690002,122.389999,122.690002,IEI,348500
400,119.941221,122.919998,2015-06-02,123.019997,122.839996,122.980003,IEI,322400
